S 8591 8747
V 281087949 [3732.5525999963284 2300.4306000005454]
V 281087950 [3656.462099995464 2225.0726999994367]
V 281087951 [3598.3757999949157 2142.732899999246]
V 1254030376 [7882.775999996811 7548.399599999189]
V 281087944 [4335.06059999764 2697.9327000007033]
V 1254030377 [7825.6110000014305 7386.472799999639]
V 281087945 [4263.487799998373 2633.2196999993175]
V 281087946 [4118.177699998021 2522.8301999997348]
V 1254030378 [7869.100799996406 7459.588499998674]
V 281087947 [3989.2400999963284 2442.8657999988645]
V 1348567258 [63.2588999979198 3346.827600000426]
V 950663675 [5932.872299995273 6633.659700000659]
V 950663672 [5412.315599996597 4328.822399999946]
V 950663673 [5004.51269999519 5070.435599999502]
V 1104927020 [7299.593100000173 8734.71209999919]
V 950663679 [5391.358799997717 4352.199000000954]
V 950663677 [5354.2292999997735 1881.2723999992013]
V 1748878541 [5499.0621000006795 1002.0080999992788]
V 1748878540 [5507.997599996626 1003.5287999995053]
V 1748878543 [5534.049299996346 1004.5611000005156]
V 1748878542 [5520.5072999969125 1004.5500000007451]
V 1748878537 [5528.243999995291 1004.5500000007451]
V 950663670 [4813.082099996507 5159.202299999073]
V 1748878536 [5488.938899997622 996.913200000301]
V 1748878539 [5480.602799996734 990.2975999992341]
V 950663658 [5400.1055999957025 4545.6053999997675]
V 1346081266 [9745.688999999315 -392.3073000013828]
V 950663657 [5442.529799997807 4183.157099999487]
V 1116361967 [9539.162399999797 4623.316500000656]
V 950663651 [5441.808299995959 3833.4071999993175]
V 950663648 [5726.689799997956 6000.404699997976]
V 950663655 [5360.3675999976695 4335.882000001147]
V 1348536477 [-1825.339500002563 4217.200799999759]
V 950663645 [4829.343599997461 5118.776100000367]
V 950663647 [5362.454399995506 4343.296800000593]
V 1346081227 [9720.93599999696 -398.0460000000894]
V 950663633 [5710.239599995315 5961.521399999037]
V 1348567312 [-1642.1118000000715 4488.962099999189]
V 1104926983 [6102.502499997616 10452.09299999848]
V 950663625 [5895.121199999005 6507.63030000031]
V 1348536457 [-3458.482500001788 4002.8930999990553]
V 950663627 [5319.519599996507 4771.235100001097]
V 950663629 [5444.139299996197 3844.1186999976635]
V 950663631 [5410.406399998814 4378.161899998784]
V 1348567299 [-3674.5661999993026 3688.2081000003964]
V 950663616 [4937.324399996549 5134.51590000093]
V 950663618 [5490.470699999481 3831.1316999979317]
V 950663622 [5374.730999998748 3518.7222000006586]
V 950663610 [5449.456199996173 3838.990499999374]
V 950663608 [5418.065400000662 4367.050800001249]
V 1348536568 [-1938.7371000014246 1823.9076000005007]
V 950663603 [5379.470699995756 5635.070400001481]
V 1348536561 [-4630.698000002652 5252.286900000647]
V 950663601 [5478.205199997872 3810.38580000028]
V 960377433 [3495.523199994117 4571.29079999961]
V 1348615653 [-3887.2089000046253 4069.415400000289]
